"state","date","critical_staffing_shortage_today_yes","critical_staffing_shortage_today_no","critical_staffing_shortage_today_not_reported","critical_staffing_shortage_anticipated_within_week_yes","critical_staffing_shortage_anticipated_within_week_no","critical_staffing_shortage_anticipated_within_week_not_reported","hospital_onset_covid","hospital_onset_covid_coverage","inpatient_beds","inpatient_beds_coverage","inpatient_beds_used","inpatient_beds_used_coverage","inpatient_beds_used_covid","inpatient_beds_used_covid_coverage","previous_day_admission_adult_covid_confirmed","previous_day_admission_adult_covid_confirmed_coverage","previous_day_admission_adult_covid_suspected","previous_day_admission_adult_covid_suspected_coverage","previous_day_admission_pediatric_covid_confirmed","previous_day_admission_pediatric_covid_confirmed_coverage","previous_day_admission_pediatric_covid_suspected","previous_day_admission_pediatric_covid_suspected_coverage","staffed_adult_icu_bed_occupancy","staffed_adult_icu_bed_occupancy_coverage","staffed_icu_adult_patients_confirmed_and_suspected_covid","staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage","staffed_icu_adult_patients_confirmed_covid","staffed_icu_adult_patients_confirmed_covid_coverage","total_adult_patients_hospitalized_confirmed_and_suspected_covid","total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage","total_adult_patients_hospitalized_confirmed_covid","total_adult_patients_hospitalized_confirmed_covid_coverage","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage","total_pediatric_patients_hospitalized_confirmed_covid","total_pediatric_patients_hospitalized_confirmed_covid_coverage","total_staffed_adult_icu_beds","total_staffed_adult_icu_beds_coverage","inpatient_beds_utilization","inpatient_beds_utilization_coverage","inpatient_beds_utilization_numerator","inpatient_beds_utilization_denominator","percent_of_inpatients_with_covid","percent_of_inpatients_with_covid_coverage","percent_of_inpatients_with_covid_numerator","percent_of_inpatients_with_covid_denominator","inpatient_bed_covid_utilization","inpatient_bed_covid_utilization_coverage","inpatient_bed_covid_utilization_numerator","inpatient_bed_covid_utilization_denominator","adult_icu_bed_covid_utilization","adult_icu_bed_covid_utilization_coverage","adult_icu_bed_covid_utilization_numerator","adult_icu_bed_covid_utilization_denominator","adult_icu_bed_utilization","adult_icu_bed_utilization_coverage","adult_icu_bed_utilization_numerator","adult_icu_bed_utilization_denominator","geocoded_state","previous_day_admission_adult_covid_confirmed_18_19","previous_day_admission_adult_covid_confirmed_18_19_coverage","previous_day_admission_adult_covid_confirmed_20_29","previous_day_admission_adult_covid_confirmed_20_29_coverage","previous_day_admission_adult_covid_confirmed_30_39","previous_day_admission_adult_covid_confirmed_30_39_coverage","previous_day_admission_adult_covid_confirmed_40_49","previous_day_admission_adult_covid_confirmed_40_49_coverage","previous_day_admission_adult_covid_confirmed_50_59","previous_day_admission_adult_covid_confirmed_50_59_coverage","previous_day_admission_adult_covid_confirmed_60_69","previous_day_admission_adult_covid_confirmed_60_69_coverage","previous_day_admission_adult_covid_confirmed_70_79","previous_day_admission_adult_covid_confirmed_70_79_coverage","previous_day_admission_adult_covid_confirmed_80","previous_day_admission_adult_covid_confirmed_80_coverage","previous_day_admission_adult_covid_confirmed_unknown","previous_day_admission_adult_covid_confirmed_unknown_coverage","previous_day_admission_adult_covid_suspected_18_19","previous_day_admission_adult_covid_suspected_18_19_coverage","previous_day_admission_adult_covid_suspected_20_29","previous_day_admission_adult_covid_suspected_20_29_coverage","previous_day_admission_adult_covid_suspected_30_39","previous_day_admission_adult_covid_suspected_30_39_coverage","previous_day_admission_adult_covid_suspected_40_49","previous_day_admission_adult_covid_suspected_40_49_coverage","previous_day_admission_adult_covid_suspected_50_59","previous_day_admission_adult_covid_suspected_50_59_coverage","previous_day_admission_adult_covid_suspected_60_69","previous_day_admission_adult_covid_suspected_60_69_coverage","previous_day_admission_adult_covid_suspected_70_79","previous_day_admission_adult_covid_suspected_70_79_coverage","previous_day_admission_adult_covid_suspected_80_","previous_day_admission_adult_covid_suspected_80_coverage","previous_day_admission_adult_covid_suspected_unknown","previous_day_admission_adult_covid_suspected_unknown_coverage","deaths_covid","deaths_covid_coverage","on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses","on_hand_supply_therapeutic_b_bamlanivimab_courses","on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses","previous_week_therapeutic_a_casirivimab_imdevimab_courses_used","previous_week_therapeutic_b_bamlanivimab_courses_used","previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used","icu_patients_confirmed_influenza","icu_patients_confirmed_influenza_coverage","previous_day_admission_influenza_confirmed","previous_day_admission_influenza_confirmed_coverage","previous_day_deaths_covid_and_influenza","previous_day_deaths_covid_and_influenza_coverage","previous_day_deaths_influenza","previous_day_deaths_influenza_coverage","total_patients_hospitalized_confirmed_influenza","total_patients_hospitalized_confirmed_influenza_and_covid","total_patients_hospitalized_confirmed_influenza_and_covid_coverage","total_patients_hospitalized_confirmed_influenza_coverage","all_pediatric_inpatient_bed_occupied","all_pediatric_inpatient_bed_occupied_coverage","all_pediatric_inpatient_beds","all_pediatric_inpatient_beds_coverage","previous_day_admission_pediatric_covid_confirmed_0_4","previous_day_admission_pediatric_covid_confirmed_0_4_coverage","previous_day_admission_pediatric_covid_confirmed_12_17","previous_day_admission_pediatric_covid_confirmed_12_17_coverage","previous_day_admission_pediatric_covid_confirmed_5_11","previous_day_admission_pediatric_covid_confirmed_5_11_coverage","previous_day_admission_pediatric_covid_confirmed_unknown","previous_day_admission_pediatric_covid_confirmed_unknown_coverage","staffed_icu_pediatric_patients_confirmed_covid","staffed_icu_pediatric_patients_confirmed_covid_coverage","staffed_pediatric_icu_bed_occupancy","staffed_pediatric_icu_bed_occupancy_coverage","total_staffed_pediatric_icu_beds","total_staffed_pediatric_icu_beds_coverage"
"VA","2020-03-20T00:00:00.000","0","0","1","0","0","1",,"0","115","1",,"0","0","1",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
"VT","2020-03-19T00:00:00.000","0","0","1","0","0","1",,"0","41","1",,"0","0","1",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
"AZ","2020-03-17T00:00:00.000","0","0","3","0","0","3","0","1","244","3","48","1","0","3",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0","0.96","1","48","50","0.0","1","0","48","0.0","3","0","244",,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0","0","1",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
"AL","2020-03-12T00:00:00.000","0","0","3","0","0","3","0","2","77","3","15","2","0","2",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0","0.2112676056338028","2","15","71","0.0","2","0","15","0.0","2","0","71",,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0","0","2",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
"WI","2020-03-08T00:00:00.000","0","0","1","0","0","1",,"0","51","1",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
"WI","2020-03-05T00:00:00.000","0","0","1","0","0","1",,"0","51","1",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
"MO","2020-02-26T00:00:00.000","0","0","1","0","0","1","0","1","0","1",,"0","0","1",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0","0","1",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
"MN","2020-02-02T00:00:00.000","0","0","1","0","0","1","0","1","46","1",,"0","0","1",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0","0","1",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
"MN","2020-01-15T00:00:00.000","0","0","1","0","0","1","0","1","46","1",,"0","0","1",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0","0","1",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
"LA","2020-01-01T00:00:00.000","0","0","1","0","0","1",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,,,,,,"0",,"0",,"0",,"0",,,"0","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0"
